epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/kpt_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/kpt_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9224,0.35502,0.13011,0.16585,0.00366,0.04324,57.5052,0.77508,0.80418,0.85296,0.22734,0.6981,0.69386,0.74683,0.48614,2.85789,9.77944,2.24923,0.07072,0,66.5426,0.000663043,0.000663043,0.000663043
2,163.114,0.65864,0.16146,0.28113,0.00781,0.12109,19.6169,0.80772,0.73333,0.85525,0.25491,0.70806,0.6,0.71997,0.4169,2.59003,9.75963,1.45771,0.055,0,39.722,0.00131655,0.00131655,0.00131655
3,230.506,0.56812,0.17602,0.26121,0.00645,0.11203,10.3061,0.96651,0.9622,0.98768,0.28419,0.96651,0.9622,0.98768,0.98768,2.56578,0.12033,1.10408,0.04352,0,4.77224,0.00195685,0.00195685,0.00195685
4,297.375,0.58719,0.1707,0.26748,0.00649,0.11272,7.57135,0.93466,0.96667,0.98896,0.31481,0.93466,0.96667,0.98896,0.98896,2.43266,0.24467,1.40653,0.04255,0,2.90759,0.0019406,0.0019406,0.0019406
5,364.572,0.62183,0.1671,0.26338,0.00673,0.07823,6.35622,0.99569,1,0.995,0.35989,0.99569,1,0.995,0.95521,2.28482,2.37487,0.75136,0.04105,0,3.87499,0.0019208,0.0019208,0.0019208
6,432.057,0.60115,0.18214,0.2543,0.0065,0.08016,6.35554,0.99939,1,0.995,0.24339,0.99939,1,0.995,0.98957,2.71308,0.37159,0.94033,0.04969,0,1.35308,0.001901,0.001901,0.001901
7,498.788,0.51526,0.1591,0.21646,0.00547,0.06386,4.30734,0.99843,1,0.995,0.28523,0.99843,1,0.995,0.995,2.58783,0.18862,0.90478,0.04634,0,0.83227,0.0018812,0.0018812,0.0018812
8,565.543,0.51827,0.15528,0.22068,0.00575,0.06102,4.0929,0.99807,1,0.995,0.24922,0.99807,1,0.995,0.995,2.69332,0.29083,0.79801,0.0483,0,0.70436,0.0018614,0.0018614,0.0018614
9,632.209,0.46207,0.15356,0.21589,0.00497,0.06106,3.00826,0.99805,1,0.995,0.29279,0.99805,1,0.995,0.995,2.53493,0.19782,1.1199,0.04377,0,0.89986,0.0018416,0.0018416,0.0018416
10,698.859,0.4339,0.15129,0.19907,0.00458,0.05128,2.82976,1,0.99341,0.995,0.25018,1,0.99341,0.995,0.995,2.73774,0.24429,0.97387,0.0497,0,0.65754,0.0018218,0.0018218,0.0018218
